,reactions,density,cluster,Refseq_ID,Mycobrowser_Version,Feature,Start,Stop,Score,Strand,Frame,Locus,Name,Function,Product,Comments,UniProt_AC,Is_Pseudogene,Functional_Category,Protein Data Bank,PFAM,UniProt,Gene Ontology,Enzyme Classification,Drug Resistance Mutations,InterPro,UniProtKB/TrEMBL,SWISS-MODEL,Orthologues M. leprae,Orthologues M. marinum,Orthologues M. smegmatis,Orthologues M. bovis,Orthologues M. lepromatosis,Orthologues M. tuberculosis,Orthologues M. abscessus,Orthologues M. haemophilum,Orthologues M. orygis
3779.0,ABTA,0.08463035019455253,0,NC_000962.3,Mycobrowser_v4,CDS,2916360.0,2917709.0,.,+,0.0,Rv2589,gabT,Involved in 4-aminobutyrate (GABA) degradation pathway [catalytic activity: 4-aminobutanoate + 2-oxoglutarate = succinate semialdehyde + L-glutamate].,4-aminobutyrate aminotransferase GabT (gamma-amino-N-butyrate transaminase) (GABA transaminase) (glutamate:succinic semialdehyde transaminase) (GABA aminotransferase) (GABA-at),"Rv2589, (MTCY227.12c), len: 449 aa. Probable gabT, 4-aminobutyrate aminotransferase, equivalent to P40829|GABT_MYCLE|ML0485|MLCB1259.03c|B1177_F2_67 4-aminobutyrate aminotransferase (446 aa), FASTA scores: opt: 2468, E(): 4.5e-141, (83.75% identity in 449 aa overlap). Also highly similar to others e.g. O86823|GABT from Streptomyces coelicolor (444 aa), FASTA scores: opt: 1832, E(): 8e-103, (63.9% identity in 443 aa overlap); AAK79395|CAC1427 from Clostridium acetobutylicum (445 aa), FASTA scores: opt: 1283, E(): 8.4e-70, (45.75% identity in 433 aa overlap); Q9KE66|BH0991 from Bacillus halodurans (443 aa), FASTA scores: opt: 1224, E(): 2.9e-66, (44.55% identity in 431 aa overlap); etc. Contains PS00600 Aminotransferases class-III pyridoxal-phosphate attachment site. Belongs to class-III of pyridoxal-phosphate-dependent aminotransferases. Cofactor: pyridoxal phosphate.",P9WQ79,No,intermediary metabolism and respiration,,P63504,P9WQ79,"GO:0003867,GO:0009448,GO:0030170,GO:0047298","2.6.1.22,2.6.1.19",,,,P9WQ79,"ML0485,ML0485c",MMAR_2118,MSMEG_2959,Mb2620,,,,,
,ACACT1r,0.08414872798434442,0,,,,,,,,,Rv3556,,,,,,,,,,,,,,,,,,,,,,,,,
898.0,ACACT1r,0.08414872798434442,0,NC_000962.3,Mycobrowser_v4,CDS,1264314.0,1264556.0,.,+,0.0,Rv1135A,Rv1135A,"Function unknown, but involved in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].",Possible acetyl-CoA acetyltransferase (acetoacetyl-CoA thiolase),"Rv1135A, len: 80 aa. Possible acetyl-CoA acetyltransferase (possible gene fragment), highly similar to other acetyl-CoA acetyltransferases e.g. C-terminal part of Rv3556c|Z92774|MTCY6G11_2|MTCY06G11.03|fadA6 acetyl-CoA acetyltransferase from Mycobacterium tuberculosis (386 aa), FASTA scores: opt: 219, E(): 5.7e-09, (63.6% identity in 55 aa overlap).",L7N682,No,lipid metabolism,,Q8VK64,L7N682,"GO:0008152,GO:0003985",2.3.1.9,,,,L7N682,,,,Mb1167,,,,,
1051.0,ACACT1r,0.08414872798434442,0,NC_000962.3,Mycobrowser_v4,CDS,1485862.0,1487031.0,.,+,0.0,Rv1323,fadA4,"Function unknown, but supposed involvement in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].",Probable acetyl-CoA acetyltransferase FadA4 (acetoacetyl-CoA thiolase),"Rv1323, (MTCY130.08), len: 389 aa. Probable fadA4, acetyl-CoA acetyltransferase, equivalent to THIL_MYCLE|P46707 possible acetyl-CoA C-acetyltransferase from Mycobacterium leprae (393 aa), FASTA scores: opt: 2218, E(): 0, (87.0% identity in 392 aa overlap). Also highly similar to others e.g. CAB70629.1|AL137242 probable acetoacetyl-CoA thiolase from Streptomyces coelicolor (401 aa); T51772 acetyl-CoA C-acetyltransferase [validated] from Alcaligenes latus (392 aa); etc. Some homologies indicate ATA start codon. Contains PS00098 Thiolases acyl-enzyme intermediate signature, PS00737 Thiolases signature 2, and PS00099 Thiolases active site. Belongs to the thiolase family.",P9WG69,No,lipid metabolism,,P66926,P9WG69,"GO:0008152,GO:0003985",2.3.1.9,,,,P9WG69,"ML2162,ML2162c",MMAR_4075,MSMEG_4920,Mb1358,,,,,
4042.0,ACGAMPM,0.08793456032719836,1,NC_000962.3,Mycobrowser_v4,CDS,3860024.0,3861370.0,.,-,0.0,Rv3441c,mrsA,Function unknown; involved in cellular metabolism.,Probable phospho-sugar mutase / MrsA protein homolog,"Rv3441c, (MTCY77.13c), len: 448 aa. Probable mrsA, phosphoglucomutase or phosphomannomutase, equivalent to Q49869|URED|B229_C3_234 MRSA protein homolog from Mycobacterium leprae (463 aa), FASTA scores: opt: 2449, E(): 6.3e-135, (87.65% identity in 445 aa overlap); and highly similar (but longer 178 aa) to Q49862|UREC|B229_C2_192 putative urease operon UREC protein from Mycobacterium leprae (288 aa), FASTA scores: opt: 1442, E(): 1.3e-76, (86.5% identity in 267 aa overlap). Highly similar to phospho-sugar mutases e.g. Q53876|SC6G4.14 putative phospho-sugar mutase (similar to phosphomannomutases) from Streptomyces coelicolor (452 aa), FASTA scores: opt: 1710, E(): 5e-92, (60.45% identity in 450 aa overlap); Q9KG46|BH0267 phosphoglucosamine mutase from Bacillus halodurans (447 aa), FASTA scores: opt: 1351, E(): 3.5e-71, (48.4% identity in 444 aa overlap); BAB58323|GLMM phosphoglucosamine-mutase from Staphylococcus aureus subsp. aureus Mu50 (451 aa) and Q99QR5|GLMM(FEMD)|SA1965 phosphoglucosamine-mutase from Staphylococcus aureus subsp. aureus N315. (451 aa), FASTA scores: opt: 1315, E(): 4.3e-69, (48.45% identity in 446 aa overlap); P95685|FEMD|GLMM phosphoglucosamine-mutase (451 aa), FASTA scores: opt: 1310, E(): 8.5e-69, (48.2% identity in 446 aa overlap); P95575|MRSA_PSESY MRSA protein homolog from Pseudomonas syringae (pv. syringae) (447 aa), FASTA scores: opt: 1143, E(): 4.2e-59, (42.75% identity in 447 aa overlap); etc. Contains PS00710 Phosphoglucomutase and phosphomannomutase phosphoserine signature. Belongs to the phosphohexose mutases family.",P9WN41,No,intermediary metabolism and respiration,,O06258,P9WN41,"GO:0000287,GO:0008966,GO:0005975",5.4.2.10,,,,P9WN41,ML0366,MMAR_1108,MSMEG_1559,Mb3471c,,,,,
1291.0,ACGK,0.1012987012987013,0,NC_000962.3,Mycobrowser_v4,CDS,1867842.0,1868726.0,.,+,0.0,Rv1654,argB,Arginine biosynthesis (second step) [catalytic activity: ATP + N-acetyl-L-glutamate = ADP + N-acetyl-L-glutamate 5-phosphate],Probable acetylglutamate kinase ArgB,"Rv1654, (MTCY06H11.19), len: 294 aa. Probable argB, Acetylglutamate kinase, similar to ARGB_CORGL|Q59281 (294 aa), FASTA scores: opt: 1209, E(): 0, (64.4% identity in 270 aa overlap). Belongs to the acetylglutamate kinase family.",P9WQ01,No,intermediary metabolism and respiration,2AP9,P0A4Y6,P9WQ01,"GO:0003991,GO:0006526,GO:0005737,GO:0004349,GO:0006561,GO:0005524",2.7.2.8,,,,P9WQ01,ML1408,MMAR_2464,MSMEG_3774,Mb1682,,,,,
341.0,ACKr,0.09188034188034189,0,NC_000962.3,Mycobrowser_v4,CDS,493851.0,495008.0,.,+,0.0,Rv0409,ackA,Involved at the first step (of two) in the conversion of acetate to acetyl-CoA [catalytic activity: ATP + acetate = ADP + acetyl phosphate].,Probable acetate kinase AckA (acetokinase),"Rv0409, (MTCY22G10.05), len: 385 aa. Probable ackA, acetate kinase, highly similar to others e.g. ACKA_BACSU|P37877 acetate kinase from Bacillus subtilis (395 aa), FASTA scores: opt: 974, E(): 0, (43.5% identity in 393 aa overlap); etc. Contains PS01075 Acetate and butyrate kinases family signature 1, PS00758 ArgE / dapE / ACY1/ CPG2 / yscS family signature 1. Belongs to the acetokinase family.",P9WQH1,No,intermediary metabolism and respiration,,P63409,P9WQH1,"GO:0008776,GO:0005737,GO:0006082,GO:0016310,GO:0005524",2.7.2.1,,,,P9WQH1,"ML0267,ML0267c",MMAR_0711,MSMEG_0784,Mb0417,,,,,
1166.0,ACONT,0.0935738444193912,0,NC_000962.3,Mycobrowser_v4,CDS,1663215.0,1666046.0,.,-,0.0,Rv1475c,acn,Involved in tricarboxylic acid cycle [catalytic activity: citrate = cis-aconitate + H2O],Probable iron-regulated aconitate hydratase Acn (citrate hydro-lyase) (aconitase),"Rv1475c, (MTV007.22c), len: 943 aa. Probable acn, iron-regulated aconitate hydratase, similar to many e.g. P70920|ACON_BRAJA aconitate hydratase from Bradyrhizobium japonicum (906 aa), FASTA scores: opt:1912, E(): 0, (54.8% identity in 958 aa overlap); closest to AF0021|AF002133_2 Mycobacterium avium strain GIR10 (961 aa), FASTA scores: opt: 5072, E(): 0, (82.8% identity in 943 aa overlap). Note aconitase has an active (4FE-4S) and an inactive (3FE-4S) forms. The active (4FE-4S) cluster is part of the catalytic site that interconverts citrate, cis-aconitase, and isocitrate.",O53166,No,intermediary metabolism and respiration,,O53166,O53166,"GO:0003994,GO:0008152,GO:0051539",4.2.1.3,,,,O53166,ML1814,MMAR_2282,MSMEG_3143,Mb1511c,,,,,
1292.0,ACOTA,0.08463035019455253,0,NC_000962.3,Mycobrowser_v4,CDS,1868723.0,1869925.0,.,+,0.0,Rv1655,argD,Arginine biosynthesis (fourth step) [catalytic activity: N2-acetyl-L-ornithine + 2-oxoglutarate = N-acetyl-L-glutamate 5-semialdehyde + L-glutamate],Probable acetylornithine aminotransferase ArgD,"Rv1655, (MTCY06H11.20), len: 400 aa. Probable argD, Acetylornithine aminotransferase, similar to ARGD_ECOLI|P18335 (406 aa), FASTA scores: opt: 958, E(): 0, (38.6% identity in 404 aa overlap), contains PS00600 Aminotransferases class-III pyridoxal-phosphate attachment site. Belongs to class-III of pyridoxal-phosphate-dependent aminotransferases.",P9WPZ7,No,intermediary metabolism and respiration,,P63568,P9WPZ7,"GO:0006526,GO:0005737,GO:0030170,GO:0003992",2.6.1.11,,,,P9WPZ7,ML1409,MMAR_2465,MSMEG_3773,Mb1683,,,,,
795.0,ADCS,0.08487804878048781,0,NC_000962.3,Mycobrowser_v4,CDS,1122222.0,1123598.0,.,-,0.0,Rv1005c,pabB,Catalyzes the biosynthesis of 4-amino-4-deoxychorismate (ADC) from chorismate and glutamine,Probable para-aminobenzoate synthase component I PABD,"Rv1005c, (MTCI237.22c), len: 458 aa (Start-site not certain). Probable PabD, para-aminobenzoate synthase component I. Similar to PABB_ECOLI|P05041 para-aminobenzoate synthase component I from Escherichia coli (453 aa), FASTA scores: opt: 589, E(): 1.8e-27, (40.7% identity in 268 aa overlap). Similar to M. tuberculosis Rv1609, Rv3215, Rv2386c.",O05591,No,intermediary metabolism and respiration,,O05591,O05591,"GO:0016829,GO:0009396",4.1.3.-,,,,O05591,"ML0236,ML0236c",MMAR_4488,MSMEG_5446,Mb1032c,,,,,
