genes,reactions,density,cluster,Refseq_ID,Mycobrowser_Version,Feature,Start,Stop,Score,Strand,Frame,Name,Function,Product,Comments,UniProt_AC,Is_Pseudogene,Functional_Category,Protein Data Bank,PFAM,UniProt,Gene Ontology,Enzyme Classification,Drug Resistance Mutations,InterPro,UniProtKB/TrEMBL,SWISS-MODEL,Orthologues M. leprae,Orthologues M. marinum,Orthologues M. smegmatis,Orthologues M. bovis,Orthologues M. lepromatosis,Orthologues M. tuberculosis,Orthologues M. abscessus,Orthologues M. haemophilum,Orthologues M. orygis
Rv2573,5DGLCNR,0.0,1,NC_000962.3,Mycobrowser_v4,CDS,2898043.0,2898783.0,.,+,0.0,Rv2573,Function unknown,Conserved hypothetical protein,"Rv2573, (MTCY227.28c), len: 246 aa. Conserved hypothetical protein, similar to various proteins e.g. Q9ABG6|CC0261 hypothetical protein from Caulobacter crescentus (290 aa), FASTA scores: opt: 516, E(): 5.8e-26, (40.1% identity in 237 aa overlap); Q99R37|SA2393 hypothetical protein (similar to 2-dehydropantoate 2-reductase) from Staphylococcus aureus subsp. aureus N315 (286 aa), FASTA scores: opt: 368, E(): 1.8e-16, (31.75% identity in 230 aa overlap); Q9KPQ9|VC2307 2-dehydropantoate 2-reductase from Vibrio cholerae (296 aa), FASTA scores: opt: 223, E(): 3.9e-07, (27.7% identity in 224 aa overlap); etc. Equivalent to AAK46962 from Mycobacterium tuberculosis strain CDC1551 (275 aa) but shorter 29 aa.",P9WIL1,No,conserved hypotheticals,,Q50648,P9WIL1,"GO:0050661,GO:0005737,GO:0055114,GO:0015940,GO:0008677",1.1.1.169,,,,P9WIL1,"ML0500,ML0500c",MMAR_2157,,Mb2603,,,,,
Rv2589,ABTA,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,2916360.0,2917709.0,.,+,0.0,gabT,Involved in 4-aminobutyrate (GABA) degradation pathway [catalytic activity: 4-aminobutanoate + 2-oxoglutarate = succinate semialdehyde + L-glutamate].,4-aminobutyrate aminotransferase GabT (gamma-amino-N-butyrate transaminase) (GABA transaminase) (glutamate:succinic semialdehyde transaminase) (GABA aminotransferase) (GABA-at),"Rv2589, (MTCY227.12c), len: 449 aa. Probable gabT, 4-aminobutyrate aminotransferase, equivalent to P40829|GABT_MYCLE|ML0485|MLCB1259.03c|B1177_F2_67 4-aminobutyrate aminotransferase (446 aa), FASTA scores: opt: 2468, E(): 4.5e-141, (83.75% identity in 449 aa overlap). Also highly similar to others e.g. O86823|GABT from Streptomyces coelicolor (444 aa), FASTA scores: opt: 1832, E(): 8e-103, (63.9% identity in 443 aa overlap); AAK79395|CAC1427 from Clostridium acetobutylicum (445 aa), FASTA scores: opt: 1283, E(): 8.4e-70, (45.75% identity in 433 aa overlap); Q9KE66|BH0991 from Bacillus halodurans (443 aa), FASTA scores: opt: 1224, E(): 2.9e-66, (44.55% identity in 431 aa overlap); etc. Contains PS00600 Aminotransferases class-III pyridoxal-phosphate attachment site. Belongs to class-III of pyridoxal-phosphate-dependent aminotransferases. Cofactor: pyridoxal phosphate.",P9WQ79,No,intermediary metabolism and respiration,,P63504,P9WQ79,"GO:0003867,GO:0009448,GO:0030170,GO:0047298","2.6.1.22,2.6.1.19",,,,P9WQ79,"ML0485,ML0485c",MMAR_2118,MSMEG_2959,Mb2620,,,,,
Rv3556,ACACT1r,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rv1323,ACACT1r,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1485862.0,1487031.0,.,+,0.0,fadA4,"Function unknown, but supposed involvement in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].",Probable acetyl-CoA acetyltransferase FadA4 (acetoacetyl-CoA thiolase),"Rv1323, (MTCY130.08), len: 389 aa. Probable fadA4, acetyl-CoA acetyltransferase, equivalent to THIL_MYCLE|P46707 possible acetyl-CoA C-acetyltransferase from Mycobacterium leprae (393 aa), FASTA scores: opt: 2218, E(): 0, (87.0% identity in 392 aa overlap). Also highly similar to others e.g. CAB70629.1|AL137242 probable acetoacetyl-CoA thiolase from Streptomyces coelicolor (401 aa); T51772 acetyl-CoA C-acetyltransferase [validated] from Alcaligenes latus (392 aa); etc. Some homologies indicate ATA start codon. Contains PS00098 Thiolases acyl-enzyme intermediate signature, PS00737 Thiolases signature 2, and PS00099 Thiolases active site. Belongs to the thiolase family.",P9WG69,No,lipid metabolism,,P66926,P9WG69,"GO:0008152,GO:0003985",2.3.1.9,,,,P9WG69,"ML2162,ML2162c",MMAR_4075,MSMEG_4920,Mb1358,,,,,
Rv1135A,ACACT1r,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,1264314.0,1264556.0,.,+,0.0,Rv1135A,"Function unknown, but involved in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].",Possible acetyl-CoA acetyltransferase (acetoacetyl-CoA thiolase),"Rv1135A, len: 80 aa. Possible acetyl-CoA acetyltransferase (possible gene fragment), highly similar to other acetyl-CoA acetyltransferases e.g. C-terminal part of Rv3556c|Z92774|MTCY6G11_2|MTCY06G11.03|fadA6 acetyl-CoA acetyltransferase from Mycobacterium tuberculosis (386 aa), FASTA scores: opt: 219, E(): 5.7e-09, (63.6% identity in 55 aa overlap).",L7N682,No,lipid metabolism,,Q8VK64,L7N682,"GO:0008152,GO:0003985",2.3.1.9,,,,L7N682,,,,Mb1167,,,,,
Rv3535c,ACALDi,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,3973589.0,3974500.0,.,-,0.0,hsaG,"Supposed involvement in one, or several, catabolic pathways [catalytic activity: acetaldehyde + CoA + NAD(+) = acetyl-CoA + NADH]. Predicted to be involved in lipid catabolism.",Probable acetaldehyde dehydrogenase (acetaldehyde dehydrogenase [acetylating]),"Rv3535c, (MTCY03C7.21), len: 303 aa. Probable hsaG, acetaldehyde dehydrogenase, highly similar to many e.g. BAB62056|TDNI from Pseudomonas putida (302 aa), FASTA scores: opt: 1159, E(): 1.5e-62, (60.45% identity in 301 aa overlap); Q9ZI57|NAHO from Pseudomonas stutzeri (Pseudomonas perfectomarina) (307 aa) FASTA scores: opt: 1151, E(): 4.6e-62, (59.55% identity in 299 aa overlap); Q9F9I4|CDOI from Comamonas sp. JS765 (302 aa) FASTA scores: opt: 1136, E(): 3.6e-61, (60.15% identity in 301 aa overlap); Q51962|NAHO from Pseudomonas putida (307 aa), FASTA scores: opt: 1133, E(): 5.6e-61, (58.55% identity in 299 aa overlap) (see citation below); P77580|MHPF_ECOLI|MHPF|MHPE|B0351 from Escherichia coli strain K12 (316 aa), FASTA scores: opt: 1040, E(): 2.2e-55, (56.85% identity in 306 aa overlap); etc.",P9WQH3,No,intermediary metabolism and respiration,,P71866,P9WQH3,"GO:0008774,GO:0019439,GO:0006520,GO:0005737,GO:0055114,GO:0051287",1.2.1.10,,,,P9WQH3,,MMAR_5022,MSMEG_5939,Mb3565c,,,,,
Rv0254c,ACBIPGT,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,305825.0,306349.0,.,-,0.0,cobU,Involved in cobalamin biosynthesis.,Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase,"Rv0254c, (MTV034.20), len: 174 aa. Probable cobU, cobalamin biosynthesis protein including a cobinamide kinase and cobinamide phosphate guanylyltransferase. Highly similar to many e.g. Q05599|COBU_SALTY cobinamide kinase / cobinamide phosphate guanylyltransferase from Salmonella typhimurium (181 aa), FASTA scores: opt: 308, E(): 1.1e-14, (38.7% identity in 181 aa overlap); P46886|COBU_ECOLI|B1993|Z3153|ECS2788 Bifunctional cobalamin biosynthesis protein cobU from Escherichia coli strains K12 and O157:H7 (181 aa); part of AL096872|SC5F7_10 from Streptomyces coelicolor (397 aa), FASTA scores: opt: 445, E(): 3.6e-23, (46.0% identity in 176 aa overlap); etc. Contains PS00017 ATP/GTP-binding site motif A (P-loop).",O53676,No,intermediary metabolism and respiration,,O53676,O53676,"GO:0043753,GO:0051188,GO:0000166,GO:0043752",2.-.-.-,,,,O53676,"ML1826,ML1826c",MMAR_3251,MSMEG_4274,Mb0260c,,,,,
Rv3285,ACCC,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,3666357.0,3668159.0,.,+,0.0,accA3,Involved in long-chain fatty acid synthesis (at the first step). Carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + orthophosphate + carboxybiotin-carboxyl-carrier protein].,Probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (alpha chain) AccA3: biotin carboxylase + biotin carboxyl carrier protein (BCCP),"Rv3285, (MTCY71.25), len: 600 aa. Probable accA3, bifunctional protein acetyl-/propionyl-coenzyme A carboxylase, alpha chain (see citations below) equivalent to P46392|BCCA_MYCLE|BCCA|ML0726|B1308_C1_129 acetyl-/propionyl-coenzyme A carboxylase alpha chain from Mycobacterium leprae (598 aa), FASTA scores: opt: 3510, E(): 1.1e-196, (89.3% identity in 601 aa overlap). Also highly similar to other proteins e.g. P71122|ACCBC acyl coenzyme A carboxylase from Corynebacterium glutamicum (Brevibacterium flavum) (591 aa), FASTA scores: opt: 2776, E(): 5.6e-154, (71.95% identity in 592 aa overlap); Q54119|BCPA2 biotin carboxylase and biotin carboxyl carrier protein from Saccharopolyspora erythraea (Streptomyces erythraeus) (591 aa), FASTA scores: opt: 2723, E(): 6.7e-151, (70.5% identity in 590 aa overlap); Q54105|BCPA biotin carboxylase and biotin carboxyl carrier protein from Saccharopolyspora erythraea (Streptomyces erythraeus) (597 aa), FASTA scores: opt: 2721, E(): 8.9e-151, (70.05% identity in 594 aa overlap); Q9EWV4|2SCK31.20 putative acyl-CoA carboxylase complex a subunit from Streptomyces coelicolor (590 aa), FASTA scores: opt: 2626, E(): 2.9e-145, (68.25% identity in 595 aa overlap); etc. Contains PS00867 Carbamoyl-phosphate synthase subdomain signature 2, PS00188 Biotin-requiring enzymes attachment site. Similar to other biotin-dependent enzymes and carbamoyl-phosphate synthetases. AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",P96890,No,lipid metabolism,,P96890,P96890,"GO:0009374,GO:0004075,GO:0008152,GO:0005524",6.3.4.14,,,,P96890,"ML0726,ML0726c",MMAR_1251,MSMEG_1807,Mb3313,,,,,
Rv3799c,ACCC,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,4254380.0,4255948.0,.,-,0.0,accD4,"Key enzyme in the catabolic pathway of odd-chain fatty acids, isoleucine, threonine, methionine, and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.]",Probable propionyl-CoA carboxylase beta chain 4 AccD4 (pccase) (propanoyl-CoA:carbon dioxide ligase),"Rv3799c, (MTV026.04c), len: 522 aa. Probable accD4, propionyl-CoA carboxylase beta chain 4, equivalent to Q9CDB0|ACCD4|ML0102 putative acyl CoA carboxylase from Mycobacterium leprae (517 aa) FASTA scores: opt: 3154, E(): 8e-187, (91.2% identity in 511 aa overlap). Also similar to many e.g. Q9X4K7|PCCB from Streptomyces coelicolor (530 aa), FASTA scores: opt: 1714, E(): 4.4e-98, (50.0% identity in 510 aa overlap); P53003|PCCB_SACER from Saccharopolyspora erythraea (Streptomyces erythraeus) (546 aa), FASTA scores: opt: 1549, E(): 6.6e-88, (50.65% identity in 519 aa overlap); Q9WZH5|TM0716 from Thermotoga maritima (515 aa) FASTA scores: opt: 1529, E(): 1.1e-86, (46.7% identity in 512 aa overlap); etc. Also similar to P53002|PCCB_MYCLE|ACCD5|PCCB|ML0731|B1308_C1_125 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium leprae (549 aa), FASTA scores: opt: 1493, E(): 1.9e-84, (49.8% identity in 514 aa overlap); and P96885|PCC5_MYCTU|ACCD5|PCCB|Rv3280|MT3379.1|MTCY71.20 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium tuberculosis (548 aa), FASTA scores: opt: 1471, E(): 4.2e-83, (49.15% identity in 515 aa overlap). Belongs to the ACCD/PCCB family. Length extended since first submission (+5 aa). AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",O53578,No,lipid metabolism,,O53578,O53578,GO:0004658,6.4.1.3,,,,O53578,ML0102,MMAR_5363,MSMEG_6391,Mb3829c,,,,,
Rv3280,ACCC,0.0,0,NC_000962.3,Mycobrowser_v4,CDS,3662062.0,3663708.0,.,+,0.0,accD5,"Key enzyme in the catabolic pathway of odd-chain fatty acids, isoleucine, threonine, methionine, and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.]",Probable propionyl-CoA carboxylase beta chain 5 AccD5 (pccase) (propanoyl-CoA:carbon dioxide ligase),"Rv3280, (MTCY71.20, pccB), len: 548 aa. Probable accD5, propionyl-CoA carboxylase beta chain 5, equivalent to P53002|PCCB_MYCLE|ACCD5|ML0731|B1308_C1_125 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium leprae (549 aa), FASTA scores: opt: 3241, E(): 4e-192, (88.7% identity in 549 aa overlap). Also similar to many e.g. O87201|DTSR2 DTSR2 protein involved in glutamate production from Corynebacterium glutamicum (Brevibacterium flavum) (537 aa), FASTA scores: opt: 2604, E(): 6.9e-153, (74.1% identity in 529 aa overlap) (see Kimura et al., 1996); P53003|PCCB_SACER from Saccharopolyspora erythraea (Streptomyces erythraeus) (546 aa), FASTA scores: opt: 2466, E(): 2.2e-144, (70.2% identity in 530 aa overlap); O88155|DTSR1 DTSR1 protein from Corynebacterium glutamicum (Brevibacterium flavum) (543 aa), FASTA scores: opt: 2375, E(): 8.8e-139, (67.1% identity in 529 aa overlap; Q9X4K7|PCCB from Streptomyces coelicolor (530 aa), FASTA scores: opt: 2360, E(): 7.3e-138, (67.9% identity in 533 aa overlap); O24789|mxpccb from Myxococcus xanthus (524 aa), FASTA scores: opt: 1868, E(): 1.5e-107, (56.85% identity in 524 aa overlap); etc. Also similar with methylmalonyl-CoA decarboxylases e.g. O59018|PH1287 from Pyrococcus horikoshii (522 aa), FASTA scores: opt: 1841, E(): 6.7e-106, (54.15% identity in 528 aa overlap). Also similarity with MTCY427.28 (43.8% identity in 434 aa overlap). Belongs to the ACCD/PCCB family. AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",P9WQH7,No,lipid metabolism,"2A7S,2BZR",P96885,P9WQH7,"GO:0004658,GO:0005524",6.4.1.3,,,,P9WQH7,"ML0731,ML0731c",MMAR_1256,MSMEG_1813,Mb3308,,,,,
