genes,reactions,density,cluster,Refseq_ID,Mycobrowser_Version,Feature,Start,Stop,Score,Strand,Frame,Name,Function,Product,Comments,UniProt_AC,Is_Pseudogene,Functional_Category,Protein Data Bank,PFAM,UniProt,Gene Ontology,Enzyme Classification,Drug Resistance Mutations,InterPro,UniProtKB/TrEMBL,SWISS-MODEL,Orthologues M. leprae,Orthologues M. marinum,Orthologues M. smegmatis,Orthologues M. bovis,Orthologues M. lepromatosis,Orthologues M. tuberculosis,Orthologues M. abscessus,Orthologues M. haemophilum,Orthologues M. orygis
Rv3285,ACCC,0.19047619047619047,0,NC_000962.3,Mycobrowser_v4,CDS,3666357,3668159,.,+,0.0,accA3,Involved in long-chain fatty acid synthesis (at the first step). Carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + orthophosphate + carboxybiotin-carboxyl-carrier protein].,Probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (alpha chain) AccA3: biotin carboxylase + biotin carboxyl carrier protein (BCCP),"Rv3285, (MTCY71.25), len: 600 aa. Probable accA3, bifunctional protein acetyl-/propionyl-coenzyme A carboxylase, alpha chain (see citations below) equivalent to P46392|BCCA_MYCLE|BCCA|ML0726|B1308_C1_129 acetyl-/propionyl-coenzyme A carboxylase alpha chain from Mycobacterium leprae (598 aa), FASTA scores: opt: 3510, E(): 1.1e-196, (89.3% identity in 601 aa overlap). Also highly similar to other proteins e.g. P71122|ACCBC acyl coenzyme A carboxylase from Corynebacterium glutamicum (Brevibacterium flavum) (591 aa), FASTA scores: opt: 2776, E(): 5.6e-154, (71.95% identity in 592 aa overlap); Q54119|BCPA2 biotin carboxylase and biotin carboxyl carrier protein from Saccharopolyspora erythraea (Streptomyces erythraeus) (591 aa), FASTA scores: opt: 2723, E(): 6.7e-151, (70.5% identity in 590 aa overlap); Q54105|BCPA biotin carboxylase and biotin carboxyl carrier protein from Saccharopolyspora erythraea (Streptomyces erythraeus) (597 aa), FASTA scores: opt: 2721, E(): 8.9e-151, (70.05% identity in 594 aa overlap); Q9EWV4|2SCK31.20 putative acyl-CoA carboxylase complex a subunit from Streptomyces coelicolor (590 aa), FASTA scores: opt: 2626, E(): 2.9e-145, (68.25% identity in 595 aa overlap); etc. Contains PS00867 Carbamoyl-phosphate synthase subdomain signature 2, PS00188 Biotin-requiring enzymes attachment site. Similar to other biotin-dependent enzymes and carbamoyl-phosphate synthetases. AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",P96890,No,lipid metabolism,,P96890,P96890,"GO:0009374,GO:0004075,GO:0008152,GO:0005524",6.3.4.14,,,,P96890,"ML0726,ML0726c",MMAR_1251,MSMEG_1807,Mb3313,,,,,
Rv3799c,ACCC,0.19047619047619047,0,NC_000962.3,Mycobrowser_v4,CDS,4254380,4255948,.,-,0.0,accD4,"Key enzyme in the catabolic pathway of odd-chain fatty acids, isoleucine, threonine, methionine, and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.]",Probable propionyl-CoA carboxylase beta chain 4 AccD4 (pccase) (propanoyl-CoA:carbon dioxide ligase),"Rv3799c, (MTV026.04c), len: 522 aa. Probable accD4, propionyl-CoA carboxylase beta chain 4, equivalent to Q9CDB0|ACCD4|ML0102 putative acyl CoA carboxylase from Mycobacterium leprae (517 aa) FASTA scores: opt: 3154, E(): 8e-187, (91.2% identity in 511 aa overlap). Also similar to many e.g. Q9X4K7|PCCB from Streptomyces coelicolor (530 aa), FASTA scores: opt: 1714, E(): 4.4e-98, (50.0% identity in 510 aa overlap); P53003|PCCB_SACER from Saccharopolyspora erythraea (Streptomyces erythraeus) (546 aa), FASTA scores: opt: 1549, E(): 6.6e-88, (50.65% identity in 519 aa overlap); Q9WZH5|TM0716 from Thermotoga maritima (515 aa) FASTA scores: opt: 1529, E(): 1.1e-86, (46.7% identity in 512 aa overlap); etc. Also similar to P53002|PCCB_MYCLE|ACCD5|PCCB|ML0731|B1308_C1_125 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium leprae (549 aa), FASTA scores: opt: 1493, E(): 1.9e-84, (49.8% identity in 514 aa overlap); and P96885|PCC5_MYCTU|ACCD5|PCCB|Rv3280|MT3379.1|MTCY71.20 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium tuberculosis (548 aa), FASTA scores: opt: 1471, E(): 4.2e-83, (49.15% identity in 515 aa overlap). Belongs to the ACCD/PCCB family. Length extended since first submission (+5 aa). AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",O53578,No,lipid metabolism,,O53578,O53578,GO:0004658,6.4.1.3,,,,O53578,ML0102,MMAR_5363,MSMEG_6391,Mb3829c,,,,,
Rv3280,ACCC,0.19047619047619047,0,NC_000962.3,Mycobrowser_v4,CDS,3662062,3663708,.,+,0.0,accD5,"Key enzyme in the catabolic pathway of odd-chain fatty acids, isoleucine, threonine, methionine, and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.]",Probable propionyl-CoA carboxylase beta chain 5 AccD5 (pccase) (propanoyl-CoA:carbon dioxide ligase),"Rv3280, (MTCY71.20, pccB), len: 548 aa. Probable accD5, propionyl-CoA carboxylase beta chain 5, equivalent to P53002|PCCB_MYCLE|ACCD5|ML0731|B1308_C1_125 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium leprae (549 aa), FASTA scores: opt: 3241, E(): 4e-192, (88.7% identity in 549 aa overlap). Also similar to many e.g. O87201|DTSR2 DTSR2 protein involved in glutamate production from Corynebacterium glutamicum (Brevibacterium flavum) (537 aa), FASTA scores: opt: 2604, E(): 6.9e-153, (74.1% identity in 529 aa overlap) (see Kimura et al., 1996); P53003|PCCB_SACER from Saccharopolyspora erythraea (Streptomyces erythraeus) (546 aa), FASTA scores: opt: 2466, E(): 2.2e-144, (70.2% identity in 530 aa overlap); O88155|DTSR1 DTSR1 protein from Corynebacterium glutamicum (Brevibacterium flavum) (543 aa), FASTA scores: opt: 2375, E(): 8.8e-139, (67.1% identity in 529 aa overlap; Q9X4K7|PCCB from Streptomyces coelicolor (530 aa), FASTA scores: opt: 2360, E(): 7.3e-138, (67.9% identity in 533 aa overlap); O24789|mxpccb from Myxococcus xanthus (524 aa), FASTA scores: opt: 1868, E(): 1.5e-107, (56.85% identity in 524 aa overlap); etc. Also similar with methylmalonyl-CoA decarboxylases e.g. O59018|PH1287 from Pyrococcus horikoshii (522 aa), FASTA scores: opt: 1841, E(): 6.7e-106, (54.15% identity in 528 aa overlap). Also similarity with MTCY427.28 (43.8% identity in 434 aa overlap). Belongs to the ACCD/PCCB family. AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",P9WQH7,No,lipid metabolism,"2A7S,2BZR",P96885,P9WQH7,"GO:0004658,GO:0005524",6.4.1.3,,,,P9WQH7,"ML0731,ML0731c",MMAR_1256,MSMEG_1813,Mb3308,,,,,
Rv3280,ACChex,0.047619047619047616,0,NC_000962.3,Mycobrowser_v4,CDS,3662062,3663708,.,+,0.0,accD5,"Key enzyme in the catabolic pathway of odd-chain fatty acids, isoleucine, threonine, methionine, and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.]",Probable propionyl-CoA carboxylase beta chain 5 AccD5 (pccase) (propanoyl-CoA:carbon dioxide ligase),"Rv3280, (MTCY71.20, pccB), len: 548 aa. Probable accD5, propionyl-CoA carboxylase beta chain 5, equivalent to P53002|PCCB_MYCLE|ACCD5|ML0731|B1308_C1_125 probable propionyl-CoA carboxylase beta chain 5 from Mycobacterium leprae (549 aa), FASTA scores: opt: 3241, E(): 4e-192, (88.7% identity in 549 aa overlap). Also similar to many e.g. O87201|DTSR2 DTSR2 protein involved in glutamate production from Corynebacterium glutamicum (Brevibacterium flavum) (537 aa), FASTA scores: opt: 2604, E(): 6.9e-153, (74.1% identity in 529 aa overlap) (see Kimura et al., 1996); P53003|PCCB_SACER from Saccharopolyspora erythraea (Streptomyces erythraeus) (546 aa), FASTA scores: opt: 2466, E(): 2.2e-144, (70.2% identity in 530 aa overlap); O88155|DTSR1 DTSR1 protein from Corynebacterium glutamicum (Brevibacterium flavum) (543 aa), FASTA scores: opt: 2375, E(): 8.8e-139, (67.1% identity in 529 aa overlap; Q9X4K7|PCCB from Streptomyces coelicolor (530 aa), FASTA scores: opt: 2360, E(): 7.3e-138, (67.9% identity in 533 aa overlap); O24789|mxpccb from Myxococcus xanthus (524 aa), FASTA scores: opt: 1868, E(): 1.5e-107, (56.85% identity in 524 aa overlap); etc. Also similar with methylmalonyl-CoA decarboxylases e.g. O59018|PH1287 from Pyrococcus horikoshii (522 aa), FASTA scores: opt: 1841, E(): 6.7e-106, (54.15% identity in 528 aa overlap). Also similarity with MTCY427.28 (43.8% identity in 434 aa overlap). Belongs to the ACCD/PCCB family. AccA3 (Rv3285), AccD5 (Rv3280), AccD4 (Rv3799), and AccE5 (Rv3281) form a biotin-dependent acyl-CoA carboxylase in M. tuberculosis H37Rv (See Oh et al., 2006).",P9WQH7,No,lipid metabolism,"2A7S,2BZR",P96885,P9WQH7,"GO:0004658,GO:0005524",6.4.1.3,,,,P9WQH7,"ML0731,ML0731c",MMAR_1256,MSMEG_1813,Mb3308,,,,,
Rv1654,ACGK,0.0,1,NC_000962.3,Mycobrowser_v4,CDS,1867842,1868726,.,+,0.0,argB,Arginine biosynthesis (second step) [catalytic activity: ATP + N-acetyl-L-glutamate = ADP + N-acetyl-L-glutamate 5-phosphate],Probable acetylglutamate kinase ArgB,"Rv1654, (MTCY06H11.19), len: 294 aa. Probable argB, Acetylglutamate kinase, similar to ARGB_CORGL|Q59281 (294 aa), FASTA scores: opt: 1209, E(): 0, (64.4% identity in 270 aa overlap). Belongs to the acetylglutamate kinase family.",P9WQ01,No,intermediary metabolism and respiration,2AP9,P0A4Y6,P9WQ01,"GO:0003991,GO:0006526,GO:0005737,GO:0004349,GO:0006561,GO:0005524",2.7.2.8,,,,P9WQ01,ML1408,MMAR_2464,MSMEG_3774,Mb1682,,,,,
Rv3002c,ACHBS,0.015873015873015872,0,NC_000962.3,Mycobrowser_v4,CDS,3360624,3361130,.,-,0.0,ilvN,Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2-pyruvate].,Probable acetolactate synthase (small subunit) IlvN (acetohydroxy-acid synthase) (AHAS) (ALS),"Rv3002c, (MT3082, MTV012.16c), len: 168 aa. Probable ilvN (alternate gene name: ilvH), acetolactate synthase, small subunit, equivalent or highly similar to others e.g. O33113|ILVH_MYCLE|MLCB637.21 from Mycobacterium leprae (169 aa), FASTA scores: opt: 843, E(): 5.1e-47, (83.5% identity in 164 aa overlap); Q59499|ILVH_MYCAV|ILVN from Mycobacterium avium (167 aa), FASTA scores: opt: 798, E(): 3.7e-44, (81.05% identity in 169 aa overlap); Q9Z566|ILVN from Streptomyces coelicolor (174 aa), FASTA scores: opt: 678, E(): 1.7e-36, (64.8% identity in 159 aa overlap); etc. Belongs to the acetolactate synthase small subunit family.",P9WKJ3,No,intermediary metabolism and respiration,,P65161,P9WKJ3,"GO:0016597,GO:0009082,GO:0003984",2.2.1.6,,,,P9WKJ3,"ML1695,ML1695c",MMAR_1711,MSMEG_2373,Mb3027c,,,,,
Rv3003c,ACHBS,0.015873015873015872,0,NC_000962.3,Mycobrowser_v4,CDS,3361130,3362986,.,-,0.0,ilvB1,Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2 pyruvate].,Acetolactate synthase (large subunit) IlvB1 (acetohydroxy-acid synthase),"Rv3003c, (MT3083, MTV012.17c), len: 618 aa. ilvB1, acetolactate synthase, large subunit, equivalent or highly similar to others e.g. O33112|ILVB_MYCLE|MLCB637.20|ML1696 from Mycobacterium leprae (625 aa), FASTA scores: opt: 3653, E(): 5.4e-208, (87.1% identity in 627 aa overlap); Q59498|ILVB_MYCAV from Mycobacterium avium (621 aa), FASTA scores: opt: 3473, E(): 2.3e-197, (84.7% identity in 614 aa overlap); P42463|ILVB_CORGL from Corynebacterium glutamicum (Brevibacterium flavum) (626 aa), FASTA scores: opt: 2754, E(): 5.9e-155, (65.8% identity in 589 aa overlap); etc. Contains PS00187 Thiamine pyrophosphate enzymes signature. Cofactor: thiamine pyrophosphate, and magnesium (by similarity). Note that previously known as ilvB.",P9WG41,No,intermediary metabolism and respiration,,P0A622,P9WG41,"GO:0003984,GO:0009082,GO:0000287,GO:0030976,GO:0050660",2.2.1.6,,,,P9WG41,"ML1696,ML1696c",MMAR_1710,MSMEG_2372,Mb3028c,,,,,
Rv3470c,ACHBS,0.015873015873015872,0,NC_000962.3,Mycobrowser_v4,CDS,3887144,3888802,.,-,0.0,ilvB2,Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2-pyruvate].,Probable acetolactate synthase (large subunit) IlvB2 (AHAS) (acetohydroxy-acid synthase large subunit) (ALS),"Rv3470c, (MTCY13E12.23c), len: 552 aa. Probable ilvB2, acetolactate synthase large subunit, similar to others e.g. P73913|ILVG|SLR2088 from Synechocystis sp. strain PCC 6803 (621 aa), FASTA scores: opt: 779, E(): 4.5e-39, (30.7% identity in 567 aa overlap); O78518|ILVB_GUITH from Guillardia theta (Cryptomonas phi) (575 aa), FASTA scores: opt: 742, E(): 6.9e-37, (28.8% identity in 566 aa overlap); Q59950|ILVX from Spirulina platensis (612 aa), FASTA scores: opt: 715, E(): 3e-35, (28.45% identity in 569 aa overlap); etc. Contains thiamine pyrophosphate enzymes signature (PS00187).",O06335,No,intermediary metabolism and respiration,,O06335,O06335,"GO:0000287,GO:0030976,GO:0003984",2.2.1.6,,,,O06335,,,MSMEG_1488,Mb3499c,,,,,
Rv3509c,ACLS,0.015873015873015872,0,NC_000962.3,Mycobrowser_v4,CDS,3936877,3938424,.,-,0.0,ilvX,Could be involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2 pyruvate].,Probable acetohydroxyacid synthase IlvX (acetolactate synthase),"Rv3509c, (MTV023.16), len: 515 aa. Probable ilvX, acetohydroxyacid synthase, equivalent to Mycobacterium leprae protein described as Acetolactate synthase I, valine sensitive, large subunit Q49865|ILVX|ILVI1|B229_C3_222 (515 aa), FASTA scores: opt: 2762, E(): 8.8e-145, (82.9% identity in 515 aa overlap). Also similar to various enzymes (principally acetohydroxyacid/acetolactate synthases) e.g. Q9AB41|CC0393 thiamine-pyrophosphate-requiring enzyme from Caulobacter crescentus (512 aa), FASTA scores: opt: 1572, E(): 2.8e-79, (50.95% identity in 514 aa overlap); BAB50432|MLL3567 acetolactate synthase I from Rhizobium loti (Mesorhizobium loti) (517 aa), FASTA scores: opt: 1440, E(): 5.2e-72, (47.9% identity in 548 aa overlap); P20906|MDLC_PSEPU benzoylformate decarboxylase from Pseudomonas putida (528 aa), FASTA scores: opt: 356, E(): 2.5e-12, (28.1% identity in 530 aa overlap); Q9L123|SC6D11.33c putative decarboxylase from Streptomyces coelicolor (526 aa), FASTA scores: opt: 325, E(): 1.3e-10, (33.2% identity in 530 aa overlap); Q9RDF9|SCC57A.40c putative acetolactate synthase from Streptomyces coelicolor (564 aa), FASTA scores: opt: 304, E(): 1.9e-09, (28.55% identity in 550 aa overlap); P94783 valine-sensitive acetohydroxy acid synthase from Citrobacter freundii (561 aa), FASTA scores: opt: 278, E(): 5.1e-08, (25.8% identity in 550 aa overlap); Q42767|AHAS acetohydroxyacid synthase from Gossypium hirsutum (Upland cotton) (659 aa), FASTA scores: opt: 278, E(): 5.8e-08, (26.15% identity in 558 aa overlap); etc. Note that other Mycobacterium tuberculosis proteins, e.g. O53250|MTV012.17c|ILVB_MYCTU|Rv3003c|MT3083|MTV012.17c, show better similarity to Acetolactate synthase I. Similar to other enzymes which require TPP. Cofactor: thiamin pyrophosphate (by similarity).",O53554,No,intermediary metabolism and respiration,,O53554,O53554,"GO:0030976,GO:0003984",2.2.1.6,,,,O53554,ML0354,MMAR_4997,MSMEG_4348,Mb3539c,,,,,
Rv3002c,ACLS,0.015873015873015872,0,NC_000962.3,Mycobrowser_v4,CDS,3360624,3361130,.,-,0.0,ilvN,Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2-pyruvate].,Probable acetolactate synthase (small subunit) IlvN (acetohydroxy-acid synthase) (AHAS) (ALS),"Rv3002c, (MT3082, MTV012.16c), len: 168 aa. Probable ilvN (alternate gene name: ilvH), acetolactate synthase, small subunit, equivalent or highly similar to others e.g. O33113|ILVH_MYCLE|MLCB637.21 from Mycobacterium leprae (169 aa), FASTA scores: opt: 843, E(): 5.1e-47, (83.5% identity in 164 aa overlap); Q59499|ILVH_MYCAV|ILVN from Mycobacterium avium (167 aa), FASTA scores: opt: 798, E(): 3.7e-44, (81.05% identity in 169 aa overlap); Q9Z566|ILVN from Streptomyces coelicolor (174 aa), FASTA scores: opt: 678, E(): 1.7e-36, (64.8% identity in 159 aa overlap); etc. Belongs to the acetolactate synthase small subunit family.",P9WKJ3,No,intermediary metabolism and respiration,,P65161,P9WKJ3,"GO:0016597,GO:0009082,GO:0003984",2.2.1.6,,,,P9WKJ3,"ML1695,ML1695c",MMAR_1711,MSMEG_2373,Mb3027c,,,,,
